Roll No,Name,Attendance,Online,Assignment,Project,Total,Grade
2019-SE-001,John Smith,18,9,17,45,89,A+
2019-SE-002,Jane Doe,20,10,19,48,97,A+
2019-SE-003,Mike Johnson,16,8,15,42,81,A+
2019-SE-004,Sarah Wilson,19,9,18,46,92,A+
2019-SE-005,David Brown,17,7,16,44,84,A+
2019-SE-006,Emily Davis,20,10,20,50,100,A+
2019-SE-007,Alex Chen,15,6,14,38,73,A-
2019-SE-008,Lisa Garcia,19,8,17,47,91,A+
2019-SE-009,Tom Anderson,14,5,13,35,67,B+
2019-SE-010,Maria Rodriguez,18,9,19,49,95,A+
20220104108,Mashrur,10,10,10,50,80,A+
